username,location,text,created_at
Stephen12Miller,Deutschland,RT @Beatrix_vStorch: Congratulations 🇬🇧! #BrexitDay https://t.co/9TaKBf6U3Y,2020-02-05
ed_miller_UK,"East Midlands, England","RT @Michael_Heaver: #BrexitDay was historic, epic, amazing! 

Myself &amp; @MartinDaubney started day off in Brussels and ended it in Parliamen…",2020-02-05
Carobailey864,SC,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
987jude,"Suffolk, UK",RT @ATD_Europe: #LondonIs... one of the place where All Together in Dignity - @ATD4thWorld flourishes in Europe! #StrongerTogether with @AT…,2020-02-05
What_RP_Said,"Budleigh Salterton, England","So I'm in a Finnish newspaper...

#BrexitDay https://t.co/sS3PziOcOY",2020-02-05
SchroedingerFC,"London,Villarreal,Shettleston","RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
KMac60164875,County Durham,"RT @BHAPressOffice: During the transition period 1 Feb - 31 Dec 2020, the existing Tripartite Agreement for thoroughbred movement remains i…",2020-02-05
ryandarcy63,Ireland,"RT @BorisJohnson_MP: Reasons to celebrate #BrexitDay (I’ll try to fit them all in one tweet):

-Trump and Putin will be happy
-Millionaires…",2020-02-05
Strak1314,"Berwick oan Tweed, Scotland! ","RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
screaminkid,,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
USArmenians,,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
jeffreymhoward,"London, England","Oh, hey, that's my @centralline pic from #BrexitDay! #LondonIsOpen https://t.co/V1DrdmaxK2",2020-02-05
bluebirdflyaway,"Torquay - Jan Juc, Victoria","RT @Alex_Verbeek: 👓

The cost of Brexit is already £ 130bn, or 260bn of those new 50 pence coins.

Put them next to each other (assuming th…",2020-02-05
skeenan71,Earth,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
VaaltynTammy,,RT @ApostleEric: Can the anointing prove false? See how believers miss-interpret what the anointing is and does with faith. Many seek the a…,2020-02-05
EddieCo31250948,,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
CfkkWNGIMeUIwQu,,"RT @en_germany: #January31: These are the latest #news from #Germany for you! #NewsDE
❗🆕🇩🇪👉 https://t.co/139sYAbLNp

#Brexit #Britain #EU #…",2020-02-05
gwcollinge,"Lancaster, England","RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
joshmaisie,Selkirkshire,"RT @DerFilosofos: Thank God it's #BrexitDay!
Now #PrinceAndrew  can live out his escapades in public again without embarrassing #Europe! ht…",2020-02-05
50pO2,,"RT @en_germany: #January31: These are the latest #news from #Germany for you! #NewsDE
❗🆕🇩🇪👉 https://t.co/139sYAbLNp

#Brexit #Britain #EU #…",2020-02-05
tbradman,London,RT @saabrussels: A big THANK YOU 🙏🏾 to  all former 🇬🇧 Members of the 🇪🇺 @Europarl_EN that actively worked for and supported European cultur…,2020-02-05
LucaMx07,,RT @deAdder: Cartoon for @TorontoStar #BrexitDay #Brexit50p #Brexiteers #BrexitShambles https://t.co/tANe3Wijvm,2020-02-05
msm_monitor,,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
wandagad,"Texas, USA",RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
owlwoman911_,🏔HighRockyNews RT for planet),"RT @Janice4Brexit: For over 20yrs I’ve campaigned for Brexit, both as a Tory PPC and as an MEP. 

My work is done. 

Twitter name janice4br…",2020-02-05
JKearby,Texas,RT @Futuristicnick: What Were the Odds? Extremely Good Chance #BrexitDay and #acquitmas  Will Take Place Within Hours of Each Other 😁🥳😁🥳 ht…,2020-02-05
TheSharbear,Eppur si muove.,RT @deAdder: Cartoon for @TorontoStar #BrexitDay #Brexit50p #Brexiteers #BrexitShambles https://t.co/tANe3Wijvm,2020-02-05
edscoble,London,"RT @oldjumpers: 84% of Daily Express readers said flying the EU flag on or after #BrexitDay upset them. 

Please be sensitive. #ILoveEU htt…",2020-02-05
DianaSkelton,London/NYC/Madagascar/UN,RT @ATD_Europe: #LondonIs... one of the place where All Together in Dignity - @ATD4thWorld flourishes in Europe! #StrongerTogether with @AT…,2020-02-05
Vale__Ferrari,Italy 🇮🇹,"RT @uturantekin: An Italian reporter called Federico Gatti, @federicogatti standing against “some” Brexit fans who were bullying a local ar…",2020-02-05
dcepa,,"RT @michaeljohns: How America's #TeaParty movement inspired #Brexit:

https://t.co/ivIiStVnW6

#UnitedKingdom #EuropeanUnion #BrexitDay #UK",2020-02-05
myfoodfantasy69,"Manchester, England","RT @MadeleinaKay: Everyone singing WE ARE EUROPE outside Europe House on #BrexitDay because we still believe #TheFutureisEurope 🇬🇧💔🇪🇺
WE WI…",2020-02-05
QSSArtStudios,"Belfast, United Kingdom",RT @joygerrard: Happy to be in Dublin today on #Brexitday working with brilliant design colleagues on a new project. Back to Paris on Sunda…,2020-02-05
LoveEU47079136,Europe,"RT @AlattarHazem: 😂😂
#BrexitDay #BrexitBritain
taken from #9gag https://t.co/Nef7pDXScZ",2020-02-05
myfairobserver,"Mountain View, CA, USA","Unmoored from Europe and uncertain of how to tighten the UK’s relationship with the US, what is Boris Johnson’s vis… https://t.co/SUMQg9ozqm",2020-02-05
SmartBe_fr,Belgique,"RT @CoopsEurope: 🇪🇺🇬🇧As the United Kingdom leaves the EU today, we express our regret but also reaffirm commitment to continue cooperating…",2020-02-05
AlattarHazem,,"😂😂
#BrexitDay #BrexitBritain
taken from #9gag https://t.co/Nef7pDXScZ",2020-02-05
eirene_positive,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
JulietMEvans,,"RT @Tommoriarty16: Today is one of the darkest days in the history of the country and yet some will celebrate it, utterly unaware of what i…",2020-02-05
carldawkins10,,"RT @NiallGodding: Arrived in Parliament Sqaure!! 🇬🇧
Nearly 6 hours to go! 🎉🍾
#Brexit  #BrexitDay #IndependenceDay https://t.co/yc2iQDRPgV",2020-02-05
carldawkins10,,"RT @NiallGodding: The crowd is building! 🇬🇧🎉🍾
#BrexitDay #Brexit https://t.co/K234avm5eh",2020-02-05
SusanJo82817670,,"RT @AussieNickAU: It’s never too soon to watch this celebration of pure joy and patriotic victory again! 😎😂💪🏻🇬🇧 🥳 

Looks like more than hu…",2020-02-05
carldawkins10,,"RT @NiallGodding: The countdown in Parliament Square this evening! 🇬🇧🎉🍾
#Brexit #BrexitDay #BrexitCelebration https://t.co/qfhuEwAxd1",2020-02-05
martiesp50,"Clacton-on-Sea, England","RT @LocutusBrussels: This is a fantastic video - so glad I was a part of the #BrexitDay celebrations there at #ParliamentSquare.

Great cro…",2020-02-05
Bazza73617427,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Shr33k1,,@BrexitBetrayed Not soon enough! Most of the country have seen how bias its been towards remain for #brexit instead… https://t.co/XEBzxk5vGE,2020-02-05
WelshBrexit,"Cardiff, Wales","RT @LocutusBrussels: This is a fantastic video - so glad I was a part of the #BrexitDay celebrations there at #ParliamentSquare.

Great cro…",2020-02-05
RazerWithAKnee,The Black Country,"RT @BrexitLondon: #BrexitDay: The BBC said ""hundreds"" were there. It was thousands. I was there. The BBC refused to cover live the speeches…",2020-02-05
spakaho,"Accra, Ghana",RT @SongweVera: #Africa|s GDP equivalent to the #UK. With #BrexitDay  what trade relation should the continent forge? #AfCFTA blueprint sta…,2020-02-05
jackied3147,"Sale, England","RT @Janice4Brexit: For over 20yrs I’ve campaigned for Brexit, both as a Tory PPC and as an MEP. 

My work is done. 

Twitter name janice4br…",2020-02-05
summachar_in,India,"POST-2016 HISTORY OF BREXIT

Read in Depth --&gt; https://t.co/6sJqihZsiT

Download the Summachar App --&gt;… https://t.co/08uLc2U1gl",2020-02-05
Ima96242672, United Kingdom,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
StuartPoet,Kirkcudbrightshire,RT @ByLeavesWeLive: Poems for #BrexitDay. 'Herring Gulls Wrongly Anticipate the Result of the European Referendum' by @StuartPoet. https://…,2020-02-05
johnjames_1993,🕳️ BritishIndependance 🕳️,"RT @LocutusBrussels: This is a fantastic video - so glad I was a part of the #BrexitDay celebrations there at #ParliamentSquare.

Great cro…",2020-02-05
winnertakesall3,Oldham “land of the gods” ,"RT @JonathanPieNews: Police harassment in Westminster! 
#BrexitDay https://t.co/z4IN6yMwcf",2020-02-05
SmartFr,France,"RT @CoopsEurope: 🇪🇺🇬🇧As the United Kingdom leaves the EU today, we express our regret but also reaffirm commitment to continue cooperating…",2020-02-05
Alanlsg,Linkedin and My Book,"RT @TonyRobinsonOBE: #BrexitDay

At my age 
Promises
About 
Us
Living 
Better lives
In a better UK
Are like a 
Pinch of salt
On a hot chip…",2020-02-05
bigo93,Yorkshire and The Humber,"@Femi_Sorry Acting out a tantrum
""Throwing things out on their pram""
Using beverages as projectiles.

Indeed, I can… https://t.co/HasXdDB4h5",2020-02-05
getfit1johnson1,"California, USA",RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
GBoone56,FLORIDA PANHANDLE,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
freedom4allyo,United Kingdom,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Christi40330644,"Wales, United Kingdom",RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
diwc69,"Upper Abbasock, Cymru / Wales.","RT @MadeleinaKay: Everyone singing WE ARE EUROPE outside Europe House on #BrexitDay because we still believe #TheFutureisEurope 🇬🇧💔🇪🇺
WE WI…",2020-02-05
Donna78700883,USA. ,"RT @JustInformU: Seems @youtube is not being forced to CENSOR #TommyRobinson since the #BrexitDay FREEDOM DAY!
Thanks @realDonaldTrump 
#Fr…",2020-02-05
RoseanneWhistl1,,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
USABrewster,,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
savetrump1,,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
BredlauMary,USA .. CA & TX,"RT @JustInformU: Seems @youtube is not being forced to CENSOR #TommyRobinson since the #BrexitDay FREEDOM DAY!
Thanks @realDonaldTrump 
#Fr…",2020-02-05
osidekom,"LONDON , UK",RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
pink17twit,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
coachdb181,,RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
xalvadorm,México,RT @deAdder: Cartoon for @TorontoStar #BrexitDay #Brexit50p #Brexiteers #BrexitShambles https://t.co/tANe3Wijvm,2020-02-05
nonspamming,Somewhere Out There,RT @SRock725: @JohnMappin God bless you brother!!! We are all Patriots!!! Enjoying the show!!!!🐇🕳🎥♥️🇺🇸🇬🇧🤗🙏🏼🤪#BrexitDay #blessed #Q #EnjoyTh…,2020-02-05
realJediMan1,"DeBary, Florida ",RT @Jakecheeasman3: Oh Golly This has got to be the best day of my fucking LIFE!!! 45 to be rightfully acquitted tonight! Brexit taking pla…,2020-02-05
Bubbletrouble72,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
dannyr12009,"England, UK, Europe",RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Ophelia04987041,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Jess_Simpson645,,"RT @AussieNickAU: It’s never too soon to watch this celebration of pure joy and patriotic victory again! 😎😂💪🏻🇬🇧 🥳 

Looks like more than hu…",2020-02-05
LoveEU47079136,Europe,"RT @hiveofblacks: Imagine what a significant white pasted on the flats of people of color on the day Britain exit the EU. 

https://t.co/DN…",2020-02-05
LoveEU47079136,Europe,RT @Elkollo1: Was it all a conspiracy? #brexit #BrexitDay #BorisJohnson https://t.co/ztVrJ3gOoC,2020-02-05
kheatherbrown,No Deal Best Deal,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Ray42827150,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
hiveofblacks,,Imagine what a significant white pasted on the flats of people of color on the day Britain exit the EU.… https://t.co/ED5DGaYjin,2020-02-05
christi73224817,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
RatfinkEric,It's A Secret (Schiff's house),"@DianaWintah Try this take on for size.... 

History has a way of repeating itself. Y'all just had your 1776 moment… https://t.co/jdf87bICiw",2020-02-05
Christi40330644,"Wales, United Kingdom","RT @AussieNickAU: It’s never too soon to watch this celebration of pure joy and patriotic victory again! 😎😂💪🏻🇬🇧 🥳 

Looks like more than hu…",2020-02-05
Elkollo1,,Was it all a conspiracy? #brexit #BrexitDay #BorisJohnson https://t.co/ztVrJ3gOoC,2020-02-05
BrexitDoyin,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
ThePashu,Pakistan,RT @NotSainsburys1: I bet @_1Bonita_ made these..... #BrexitDay #coronavirus https://t.co/OvGE9Yb3CO,2020-02-05
AnoushkaHarper,"England, United Kingdom",Look at that!! 🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧 #Awesome! #BrexitDay #WeAreOut 🙌🏻🙌🏻🙌🏻🙌🏻👏🏻👏🏻👏🏻 https://t.co/fMG5dLhX7W,2020-02-05
kgalovic1,"Croatia, Zagreb",RT @BartOedipoes: The UK leaves the European Union. #BrexitDay https://t.co/Xqwf2wowPF,2020-02-05
jlofromtarn,"West London, U.K","RT @ChooseNormandy: On #BrexitDay, it’s worth reminding ourselves of the #enduringties that bind Normandy and the UK - just like this chap’…",2020-02-05
kgalovic1,"Croatia, Zagreb",RT @Cartoon4sale: Dave Brown’s @Independent cartoon... #BrexitDay #BorisJohnson #EU #Macron #Merkel #Juncker - political cartoon gallery in…,2020-02-05
iiea,"Dublin, Ireland",Speaking to the #IIEA on #BrexitDay @sinnfeinireland leader @MaryLouMcDonald reminded the audience that in the even… https://t.co/M1ATTYGnda,2020-02-05
judith_abruzzo,,"RT @QAllianceUK: @StormIsUponUs 👊🏽💥🇬🇧🇺🇸🔔
We have been waiting a long time for our freedom from the EU. 

They thought they could boss us ar…",2020-02-05
vespasian91,,"RT @LukeShawWorcs: On a very damaging day for the UK, #BrexitDay, as a #Remainer I have something to say to all the #Brexiteers.

This is m…",2020-02-05
William49235891,,"RT @Opium_Den_13: 🇬🇧I have never been so proud to be British as I am today.
Happy #BrexitDay 
#UKIndependenceDay 
Let the celebrations begi…",2020-02-05
tina_tinalondon,"St. Albans, Herts.",RT @UKEmpLawyer: Great interview. There's so much potential for a Great British trade deal with the USA! It would be great if @BorisJohnson…,2020-02-05
DavidLaine,England,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
AlanJohnson35,In REAL England,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
TerryHoughton8,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Paul06536718,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Margare39153871,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
MUFC20202,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
FireCrownEyes,"New York, NY",RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
macon_peek,,"RT @QAllianceUK: @StormIsUponUs 👊🏽💥🇬🇧🇺🇸🔔
We have been waiting a long time for our freedom from the EU. 

They thought they could boss us ar…",2020-02-05
harvey_geez,essex,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
SGHWarsaw,"Warszawa, Mazowieckie",.@ChrisPincher responding a question from the audience: #Education is obviously the most important. Polish students… https://t.co/ut5R0FQUaK,2020-02-05
lavon_lyne,same as the truth im out there,"RT @ThreeUK: Three customers can still crack on with Go Roam and use your call, text and up 20GB data allowance in the EU at no extra cost.…",2020-02-05
nottolateyet,Basingstoke,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
cmartin443,Northampton,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
NatalieFKaye,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
ReadSmall,,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Rumbleboffin,Dusseldorf,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
ConsortiaPartn1,Global,RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
AJSSocialMedia,"#Barnsley, #SouthYorkshire","RT @Suren_Thiru: Enjoyed discussing the business view of #brexitday with @VFritzNews very early this morning – In short, today is the first…",2020-02-05
MartinDaubney,"London, UK",RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
NairnYes,"Nairn, Scotland","RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
anncaswell2,,"RT @julianHjessop: A couple of economics blogs to mark #BrexitDay. 

First, a bit more on why claims that #Brexit has 'already cost' the UK…",2020-02-05
pienmashporn,Land Of The Cockneys,RT @JimBwick: What better way to see in the first day after #BrexitDay. Proper #BritishFood @robinspienmash before beer and football #Cockn…,2020-02-05
Squidge142,,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
Indra68,Glasgow,"RT @oldjumpers: 84% of Daily Express readers said flying the EU flag on or after #BrexitDay upset them. 

Please be sensitive. #ILoveEU htt…",2020-02-05
DVSMorpheus,Alberta ,RT @peterdowningAB: Amen.  #BrexitDay #WEXITNOW https://t.co/xPBqdmlfwT,2020-02-05
ATSocialMediaUK,UK,"RT @DBSPlusUK: In it's own very public divorce, Britain will leave the EU at 11pm tonight. 

Changes can be expected for complex multi-nati…",2020-02-05
themadmurph,Glasgow,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
Jacobite51,Scotland,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
Techymarines,"Plymouth, England",RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
Stevie66bankie,"Clydebank, Scotland",RT @PWMartin_Leith: I won't be the only SNP membership secretary today who's seen yet another surge in branch numbers following Fridays #Br…,2020-02-05
f_neuville,"Johannesburg, South Africa","RT @Refinitiv: The #Brexit App - leverage the depth and breadth of #Refinitiv’s coverage, including access to trusted news and market-leadi…",2020-02-05
CreditPilot,Cyprus,RT @FinTech_Futures: A collection of thoughts across the industry on what #Brexitday means for them and their business. #fintech https://t.…,2020-02-05
Mbtoon05,"Richmond, VA","RT @Badlydoodled: Proud to be Danglish today.
#Brexit #BrexitDay #NotMyBrexit #FridayFeeling #FridayThoughts #goodbyeEU #European #EU #Dani…",2020-02-05
mk1V6Neon,,"If I was #PrimeMinister - #TerrorAttacks
#AnneMarieWaters 
#ForBritain 
#terrorism 
#Jihad
#Quaran… https://t.co/CU9XFRZpc0",2020-02-05
ELCAMINONEGRO,WAR ZONE/505,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
RichHoblyn,Cornwall & Rest of UK,"RT @julianHjessop: A couple of economics blogs to mark #BrexitDay. 

First, a bit more on why claims that #Brexit has 'already cost' the UK…",2020-02-05
ReadingLibDems,"Reading, Berkshire","RT @LibDems: Our European story doesn’t end today. #BrexitDay

We will never stop fighting for liberal, progessive ideals.

Join us today t…",2020-02-05
chkagm,,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
mom2gbd,"Texas, USA","RT @Janice4Brexit: For over 20yrs I’ve campaigned for Brexit, both as a Tory PPC and as an MEP. 

My work is done. 

Twitter name janice4br…",2020-02-05
PoliticsScot,Scotland,"RT @SueScarrott: ""Staff at one of Livingston's oldest factories were given the shocking news their workplace was closing on #BrexitDay
The…",2020-02-05
Shanthyer,,"RT @Janice4Brexit: For over 20yrs I’ve campaigned for Brexit, both as a Tory PPC and as an MEP. 

My work is done. 

Twitter name janice4br…",2020-02-05
garrylayden,Europe,"RT @oldjumpers: 84% of Daily Express readers said flying the EU flag on or after #BrexitDay upset them. 

Please be sensitive. #ILoveEU htt…",2020-02-05
IrenePaternost1,"Howell, NJ","RT @Janice4Brexit: For over 20yrs I’ve campaigned for Brexit, both as a Tory PPC and as an MEP. 

My work is done. 

Twitter name janice4br…",2020-02-05
Dawn_M_Ra,,"RT @BanTheBBC: BBC reporting on #BrexitDay Celebrations: “Hundreds gathered in Parliament Square”

#FakeNews 

The pro-EU BBC have been opp…",2020-02-05
badtastemama,"Manchester, England","RT @iamtheman331: BBC : ""it's a very white crowd""

Ummm... OK.

#ScrapTheLicenceFee #BrexitNight #BrexitDay #BrexitCelebration https://t.co…",2020-02-05
wcleghorn,London | EU | Global,"RT @PrivacySolved: #Brexit: They will ask - what did you do on #brexitday? We will say, exploring Eastern Europe &amp; Central Asia.  #EECANRoa…",2020-02-05
wcleghorn,London | EU | Global,RT @EU_EDPB: We would like to thank Elizabeth Denham and the whole @ICOnews team for their fruitful cooperation and valuable contribution t…,2020-02-05
virgo6776,"Austin, TX","RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
collsexymusic4u,,RT @basicbeautytool: Last day of the 35% off #SALE. Use #code: SALE35 at checkout at https://t.co/knSTCJxdKH #discountshopping @basicbeauty…,2020-02-05
chudasama_uttam,,"RT @prageru: HISTORIC: Today, #Britain quit the European Union and regained control of its own country! 

National sovereignty is always a…",2020-02-05
cclton,,"RT @AA_Kultur: In Germany we don't say ""goodbye"", we say ""auf Wiedersehen"" and we think that's beautiful. Sad to see our British friends le…",2020-02-05
SBarnwellPhotog,"Newcastle Upon Tyne, England","RT @Dean_Matthews_: The #Brexit Bridge 🌉
The Northern Spire Bridge lit up this evening to mark the start of the United Kingdom leaving the…",2020-02-05
troy_durman,,"RT @Marmope2: Brexit? Prophet Elvis is so accurate?#NotMyBrexit #ProphetElvisMbonye
https://t.co/nbVjTHUS65
#BrexitDay
@BrexitAlex
@brexit…",2020-02-05
nataliecvincent,London,"RT @davidschneider: Brexiters, not having fought in the war: “We didn’t fight in the war to stay in the EU”

People who actually fought in…",2020-02-05
LoveEU47079136,Europe,"RT @LuisaPorritt: In some cruel form of psychological torture, the Google calendar icon on my phone appears to be permanently displaying th…",2020-02-05
LoveEU47079136,Europe,RT @LucyRottweilerW: The night after the night before and far too many hours in the pub again... #BrexitDay weekend 01.02.2020. Great frien…,2020-02-05
LoveEU47079136,Europe,RT @LucyRottweilerW: #BrexitDay 31.01.2020 (f) missed these drunk ones 🤣 https://t.co/auRwVoRqaC,2020-02-05
CarbonCraftLtd,Europe,"RT @CarbonCraftLtd: Should you cancel your #flight ✈️ for #coronavirus 😷 ❓

👉🏻 https://t.co/mJPibqFZ2Q
-

#travel #airports #safety #corona…",2020-02-05
membrainflexi,"South West, England",RT @TheHolisticWork: Happy Brexit Day to all friends and fellow travellers who are waking up the Sleeping Lion of Great Britain! We were ca…,2020-02-05
peterandann,A place in the rain. Europe,"RT @lpoolcouncil: On #BrexitDay, @mayor_anderson reflects upon the opportunities being in the EU has given us.

""We are a a cosmopolitan, o…",2020-02-05
deirdreawalsh1,"Melbourne, Australia",RT @RobLangley_UK: The moment we left the EU #BrexitDay https://t.co/KFwZenlQsG,2020-02-05
BobMoor33020935,"Bexley, London",RT @LucyRottweilerW: The night after the night before and far too many hours in the pub again... #BrexitDay weekend 01.02.2020. Great frien…,2020-02-05
AnnFinan1,,RT @paddyraffcomedy: A friend who isn’t on Twitter asked me if anybody was actually out celebrating #BrexitDay at 11 so I stuck on my recor…,2020-02-05
LuisaPorritt,"London, England","In some cruel form of psychological torture, the Google calendar icon on my phone appears to be permanently display… https://t.co/94DjKALAoN",2020-02-05
JackFoo3,,"RT @Janice4Brexit: For over 20yrs I’ve campaigned for Brexit, both as a Tory PPC and as an MEP. 

My work is done. 

Twitter name janice4br…",2020-02-05
trulyfuchsia,,RT @LucyRottweilerW: Not even British love. Move along nutcase 😂😂😂 #BrexitDay happened deal with it we will never allow us to rejoin... the…,2020-02-05
LucyRottweilerW,Derbyshire,The night after the night before and far too many hours in the pub again... #BrexitDay weekend 01.02.2020. Great fr… https://t.co/0MNzrMCN0q,2020-02-05
abhi7ate,,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
marieca97999227,,RT @CH_Gallois: @brexitparty_uk @LeaveMnsLeave @BrexitAlex It has been an honour and a real pleasure to be invited by my friends from @brex…,2020-02-05
LucyRottweilerW,Derbyshire,#BrexitDay 31.01.2020 (f) missed these drunk ones 🤣 https://t.co/auRwVoRqaC,2020-02-05
kieran_holmes,"England, United Kingdom",RT @LucyRottweilerW: The day after #BrexitDay 01.02.2020. Woke up to a beautiful blue sky over #London and a sense of calm at last. A day I…,2020-02-05
LucyRottweilerW,Derbyshire,The day after #BrexitDay 01.02.2020. Woke up to a beautiful blue sky over #London and a sense of calm at last. A da… https://t.co/BxViZqKZda,2020-02-05
AKMshooter,"Latvia, LV","RT @EuropeElects: List of EU member states whose number of seats will change in the post-Brexit EU Parliament

France: +5
Spain: +5
Netherl…",2020-02-05
TweetyBeds,"London, England","RT @TlVidz: #BrexitDay has 188k tweets, and isn't trending - yet #NotMyBrexit is with 31k tweets. @Twitter showing their usual bias again.…",2020-02-05
wllmrlw,"London, England","RT @SimoneSchnall: I’m a social psychologist interested in how people decide what’s right and wrong, and why we often disagree so strongly.…",2020-02-05
___lydiarose,,RT @hillman_rhys: Brighton are not fucking about today #BrexitDay https://t.co/pG5hj5PRXw,2020-02-05
