username,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,labels
461277906,384072.0,3014.0,127.4293297942933,3713.0,1.0,10348.0,1,1,1,1,1,637216.0,0.0,835.0,71907.0,22822.0,58.0,1.3818216514652752,0.0,0.2770404777704048,0.15593244597108918,0.1646086379504342,0.019243530192435302,56.0,12.0,0.0,68461.395,1
808280162,26405.0,381.0,69.30446194225722,52.0,26702.0,128566.0,0,1,0,1,0,129.0,0.0,32.0,21.0,1714.0,0.0,0.004768770100920483,0.0,0.0007432699231180173,0.0007763114117777531,0.2811679790026247,0.0,130.0,3.0,0.0,1919.185,1
1575510320,125774.0,117600.0,1.0695068027210883,110.0,592.0,188971.0,1,1,0,1,0,0.0,0.0,0.0,4.0,40069.0,2.0,0.0,0.0,0.0,3.401360544217687e-05,0.001822047000618429,1.7006802721088435e-05,183.0,3.0,0.0,5999.8306878306885,1
2449235599,26917.0,24.0,1121.5416666666667,2.0,2890.0,13039.0,0,1,0,1,0,0.0,0.0,0.0,0.0,11702.0,0.0,0.0,0.0,0.0008618793052872216,0.0,487.58333333333326,4.302693417591713e-05,1.0,0.0,0.0,274385.835,1
1113769100,78494.0,81036.0,0.968631225628116,46.0,13403.0,73527.0,0,0,1,1,0,0.0,0.0,0.0,0.0,5.0,0.0,0.003687792881367562,0.0,0.0008618793052872216,0.0011665307601703362,3.085048620366257e-05,4.302693417591713e-05,2.0,0.0,0.0,34049870.5,1
973224960,29157.0,2400.0,12.14875,31.0,0.0,542.0,0,0,0,1,0,0.0,0.0,0.0,0.0,673.0,0.0,0.003687792881367562,0.0,0.0008618793052872216,0.0011665307601703362,0.040059523809523816,4.302693417591713e-05,7.0,0.0,0.0,204142.0,1
194908659,106515.0,956.0,111.41736401673641,309.0,1.0,82286.0,1,1,1,1,0,119.0,0.0,0.0,128.0,0.0,0.0,0.0006223849372384938,,0.0008618793052872216,0.0006694560669456067,0.2298924731182796,4.302693417591713e-05,0.0,0.0,0.0,13309.315,1
17187236,211903.0,11864.0,17.861008091706,1737.0,20552.0,377872.0,1,1,1,1,1,340.0,0.0,5.0,104.0,349.0,1.0,0.00022744543985272242,0.0,0.0002107215104517869,6.957154630789156e-05,0.0004085655952648535,4.2144302090357376e-05,82.0,10.0,2.0,1109.085,1
456177793,263831.0,74.0,3565.283783783784,1355.0,2522.0,70635.0,0,1,1,1,1,30974.0,0.0,6232.0,3656.0,1375.0,934.0,5.1044825313118,0.0,0.8864864864864864,0.6025049439683586,0.8078730904817861,0.1328591749644381,62.0,5.0,0.0,141048.235,1
2319314323,102223.0,39001.0,2.6210353580677417,232.0,40.0,168240.0,0,0,1,1,0,86.0,0.0,0.0,22.0,37.0,0.0,1.1484748254318264e-05,0.0,0.0008618793052872216,2.937958855755835e-06,0.00013552766046291852,4.302693417591713e-05,7.0,0.0,0.0,114270.51758793973,1
92985467,119994.0,45916.0,2.6133373987281123,1965.0,11737.0,10808.0,1,1,1,1,1,86554.0,0.0,4604.0,13254.0,0.0,123.0,0.034273653865952845,,0.0006915176439134732,0.005248319064853606,0.2298924731182796,1.8474515682310428e-05,142.0,3.0,0.0,16800.66,1
1375507088,79427.0,36139.0,2.197819530147486,191.0,455.0,42965.0,1,0,0,1,0,30942.0,0.0,0.0,17264.0,1684576.0,0.0,0.0047043634027225155,0.0,0.0008618793052872216,0.002624786044360465,2.5896553738497348,4.302693417591713e-05,24.0,2.0,0.0,294122.155,1
466573221,98082.0,8560.0,11.458177570093458,111.0,1484.0,165316.0,1,1,1,1,0,2612.0,0.0,21.0,1070.0,2134663.0,2.0,0.0025859337874227784,0.0,0.00010666395774075578,0.001059322033898305,4.889735660619388,1.0158472165786263e-05,106.0,22.0,0.0,120362.96875,1
1587974648,23884.0,930.0,25.681720430107532,5.0,5.0,10314.0,0,1,1,1,0,6.0,0.0,0.0,2.0,0.0,0.0,3.2258064516129034e-05,,0.0008618793052872216,1.0752688172043013e-05,0.2298924731182796,4.302693417591713e-05,2.0,0.0,0.0,392637.825,1
538949379,392736.0,54.0,7272.8888888888905,403.0,137.0,91933.0,0,1,1,1,1,2301.0,0.0,0.0,333.0,0.0,0.0,0.2130555555555556,,0.0008618793052872216,0.03083333333333333,0.2298924731182796,4.302693417591713e-05,0.0,12.0,0.0,2321.58,1
1499232864,115553.0,116720.0,0.9900017135023989,62.0,6410.0,224941.0,0,1,1,1,0,16.0,0.0,3.0,19.0,368.0,1.0,6.5276281862985075e-06,0.0,1.7848983321909985e-07,7.75155847122948e-06,9.008126897091941e-05,5.949661107303327e-08,176.0,2.0,0.0,1791.28,1
527506722,216169.0,71.0,3044.633802816901,461.0,1767.0,111009.0,0,1,1,1,0,1692.0,0.0,0.0,711.0,8.0,0.0,0.1197536980678038,0.0,0.0008618793052872216,0.050322032698704784,0.11267605633802814,4.302693417591713e-05,5.0,0.0,0.0,3045.075,1
29820945,170799.0,1812.0,94.25993377483444,304.0,1356.0,145865.0,1,1,1,1,1,212.0,0.0,0.0,16.0,3.0,0.0,0.0005938974238298539,0.0,0.0008618793052872216,4.482244708149841e-05,0.0005518763796909492,4.302693417591713e-05,3.0,0.0,0.0,1759.2,1
892792496,424649.0,37122.0,11.439281288723668,507.0,6366.0,340633.0,1,1,1,1,0,344.0,0.0,14.0,77.0,423.0,4.0,5.483279345347454e-05,0.0,7.542697052960508e-05,1.2273619464876565e-05,0.0004382638534893263,2.15505630084586e-05,43.0,8.0,0.0,1313.865,1
